Date,Timestamp,Price
2023-11-02 00:00:00,1698883200000.0,35457.45491210553
2023-11-02 04:00:00,,
2023-11-02 08:00:00,,
2023-11-02 12:00:00,,
2023-11-02 16:00:00,,
2023-11-02 20:00:00,,
2023-11-03 00:00:00,1698969600000.0,34924.05545044328
2023-11-03 04:00:00,,
2023-11-03 08:00:00,,
2023-11-03 12:00:00,,
2023-11-03 16:00:00,,
2023-11-03 20:00:00,,
2023-11-04 00:00:00,1699056000000.0,34731.38136896784
2023-11-04 04:00:00,,
2023-11-04 08:00:00,,
2023-11-04 12:00:00,,
2023-11-04 16:00:00,,
2023-11-04 20:00:00,,
2023-11-05 00:00:00,1699142400000.0,35048.407834901074
2023-11-05 04:00:00,,
2023-11-05 08:00:00,,
2023-11-05 12:00:00,,
2023-11-05 16:00:00,,
2023-11-05 20:00:00,,
2023-11-06 00:00:00,1699228800000.0,35061.92874919579
2023-11-06 04:00:00,,
2023-11-06 08:00:00,,
2023-11-06 12:00:00,,
2023-11-06 16:00:00,,
2023-11-06 20:00:00,,
2023-11-07 00:00:00,1699315200000.0,35031.26888208706
2023-11-07 04:00:00,,
2023-11-07 08:00:00,,
2023-11-07 12:00:00,,
2023-11-07 16:00:00,,
2023-11-07 20:00:00,,
2023-11-08 00:00:00,1699401600000.0,35436.53762957962
2023-11-08 04:00:00,,
2023-11-08 08:00:00,,
2023-11-08 12:00:00,,
2023-11-08 16:00:00,,
2023-11-08 20:00:00,,
2023-11-09 00:00:00,1699488000000.0,35795.080630710196
2023-11-09 04:00:00,,
2023-11-09 08:00:00,,
2023-11-09 12:00:00,,
2023-11-09 16:00:00,,
2023-11-09 20:00:00,,
2023-11-10 00:00:00,1699574400000.0,36768.42081912672
2023-11-10 04:00:00,,
2023-11-10 08:00:00,,
2023-11-10 12:00:00,,
2023-11-10 16:00:00,,
2023-11-10 20:00:00,,
2023-11-11 00:00:00,1699660800000.0,37344.249000720345
2023-11-11 04:00:00,,
2023-11-11 08:00:00,,
2023-11-11 12:00:00,,
2023-11-11 16:00:00,,
2023-11-11 20:00:00,,
2023-11-12 00:00:00,1699747200000.0,37122.722824306555
2023-11-12 04:00:00,,
2023-11-12 08:00:00,,
2023-11-12 12:00:00,,
2023-11-12 16:00:00,,
2023-11-12 20:00:00,,
2023-11-13 00:00:00,1699833600000.0,37067.69698212008
2023-11-13 04:00:00,,
2023-11-13 08:00:00,,
2023-11-13 12:00:00,,
2023-11-13 16:00:00,,
2023-11-13 20:00:00,,
2023-11-14 00:00:00,1699920000000.0,36549.16204829837
2023-11-14 04:00:00,,
2023-11-14 08:00:00,,
2023-11-14 12:00:00,,
2023-11-14 16:00:00,,
2023-11-14 20:00:00,,
2023-11-15 00:00:00,1700006400000.0,35545.201433454065
2023-11-15 04:00:00,,
2023-11-15 08:00:00,,
2023-11-15 12:00:00,,
2023-11-15 16:00:00,,
2023-11-15 20:00:00,,
2023-11-16 00:00:00,1700092800000.0,37903.66245166294
2023-11-16 04:00:00,,
2023-11-16 08:00:00,,
2023-11-16 12:00:00,,
2023-11-16 16:00:00,,
2023-11-16 20:00:00,,
2023-11-17 00:00:00,1700179200000.0,36201.51611146142
2023-11-17 04:00:00,,
2023-11-17 08:00:00,,
2023-11-17 12:00:00,,
2023-11-17 16:00:00,,
2023-11-17 20:00:00,,
2023-11-18 00:00:00,1700265600000.0,36527.76022530742
2023-11-18 04:00:00,,
2023-11-18 08:00:00,,
2023-11-18 12:00:00,,
2023-11-18 16:00:00,,
2023-11-18 20:00:00,,
2023-11-19 00:00:00,1700352000000.0,36582.36844192274
2023-11-19 04:00:00,,
2023-11-19 08:00:00,,
2023-11-19 12:00:00,,
2023-11-19 16:00:00,,
2023-11-19 20:00:00,,
2023-11-20 00:00:00,1700438400000.0,37413.99460790531
2023-11-20 04:00:00,,
2023-11-20 08:00:00,,
2023-11-20 12:00:00,,
2023-11-20 16:00:00,,
2023-11-20 20:00:00,,
2023-11-21 00:00:00,1700524800000.0,37489.298470802016
2023-11-21 04:00:00,,
2023-11-21 08:00:00,,
2023-11-21 12:00:00,,
2023-11-21 16:00:00,,
2023-11-21 20:00:00,,
2023-11-22 00:00:00,1700611200000.0,35965.36036068078
2023-11-22 04:00:00,,
2023-11-22 08:00:00,,
2023-11-22 12:00:00,,
2023-11-22 16:00:00,,
2023-11-22 20:00:00,,
2023-11-23 00:00:00,1700697600000.0,37464.83293220907
2023-11-23 04:00:00,,
2023-11-23 08:00:00,,
2023-11-23 12:00:00,,
2023-11-23 16:00:00,,
2023-11-23 20:00:00,,
2023-11-24 00:00:00,1700784000000.0,37293.316127426726
2023-11-24 04:00:00,,
2023-11-24 08:00:00,,
2023-11-24 12:00:00,,
2023-11-24 16:00:00,,
2023-11-24 20:00:00,,
2023-11-25 00:00:00,1700870400000.0,37738.93169747125
2023-11-25 04:00:00,,
2023-11-25 08:00:00,,
2023-11-25 12:00:00,,
2023-11-25 16:00:00,,
2023-11-25 20:00:00,,
2023-11-26 00:00:00,1700956800000.0,37809.85286625321
2023-11-26 04:00:00,,
2023-11-26 08:00:00,,
2023-11-26 12:00:00,,
2023-11-26 16:00:00,,
2023-11-26 20:00:00,,
2023-11-27 00:00:00,1701043200000.0,37491.838186008135
2023-11-27 04:00:00,,
2023-11-27 08:00:00,,
2023-11-27 12:00:00,,
2023-11-27 16:00:00,,
2023-11-27 20:00:00,,
2023-11-28 00:00:00,1701129600000.0,37250.16905148115
2023-11-28 04:00:00,,
2023-11-28 08:00:00,,
2023-11-28 12:00:00,,
2023-11-28 16:00:00,,
2023-11-28 20:00:00,,
2023-11-29 00:00:00,1701216000000.0,37802.23604377473
2023-11-29 04:00:00,,
2023-11-29 08:00:00,,
2023-11-29 12:00:00,,
2023-11-29 16:00:00,,
2023-11-29 20:00:00,,
2023-11-30 00:00:00,1701302400000.0,37810.34641654128
2023-11-30 04:00:00,,
2023-11-30 08:00:00,,
2023-11-30 12:00:00,,
2023-11-30 16:00:00,,
2023-11-30 20:00:00,,
2023-12-01 00:00:00,1701388800000.0,37711.81837585267
2023-12-01 04:00:00,,
2023-12-01 08:00:00,,
2023-12-01 12:00:00,,
2023-12-01 16:00:00,,
2023-12-01 20:00:00,,
2023-12-02 00:00:00,1701475200000.0,38688.25874179069
2023-12-02 04:00:00,,
2023-12-02 08:00:00,,
2023-12-02 12:00:00,,
2023-12-02 16:00:00,,
2023-12-02 20:00:00,,
2023-12-03 00:00:00,1701561600000.0,39481.666416062864
2023-12-03 04:00:00,,
2023-12-03 08:00:00,,
2023-12-03 12:00:00,,
2023-12-03 16:00:00,,
2023-12-03 20:00:00,,
2023-12-04 00:00:00,1701648000000.0,39960.275420410515
2023-12-04 04:00:00,,
2023-12-04 08:00:00,,
2023-12-04 12:00:00,,
2023-12-04 16:00:00,,
2023-12-04 20:00:00,,
2023-12-05 00:00:00,1701734400000.0,41974.331772543344
2023-12-05 04:00:00,,
2023-12-05 08:00:00,,
2023-12-05 12:00:00,,
2023-12-05 16:00:00,,
2023-12-05 20:00:00,,
2023-12-06 00:00:00,1701820800000.0,44105.94477259938
2023-12-06 04:00:00,,
2023-12-06 08:00:00,,
2023-12-06 12:00:00,,
2023-12-06 16:00:00,,
2023-12-06 20:00:00,,
2023-12-07 00:00:00,1701907200000.0,43788.28880825234
2023-12-07 04:00:00,,
2023-12-07 08:00:00,,
2023-12-07 12:00:00,,
2023-12-07 16:00:00,,
2023-12-07 20:00:00,,
2023-12-08 00:00:00,1701993600000.0,43270.11955970747
2023-12-08 04:00:00,,
2023-12-08 08:00:00,,
2023-12-08 12:00:00,,
2023-12-08 16:00:00,,
2023-12-08 20:00:00,,
2023-12-09 00:00:00,1702080000000.0,44202.17610943621
2023-12-09 04:00:00,,
2023-12-09 08:00:00,,
2023-12-09 12:00:00,,
2023-12-09 16:00:00,,
2023-12-09 20:00:00,,
2023-12-10 00:00:00,1702166400000.0,43745.49199189547
2023-12-10 04:00:00,,
2023-12-10 08:00:00,,
2023-12-10 12:00:00,,
2023-12-10 16:00:00,,
2023-12-10 20:00:00,,
2023-12-11 00:00:00,1702252800000.0,43757.959937619176
2023-12-11 04:00:00,,
2023-12-11 08:00:00,,
2023-12-11 12:00:00,,
2023-12-11 16:00:00,,
2023-12-11 20:00:00,,
2023-12-12 00:00:00,1702339200000.0,41200.96272610168
2023-12-12 04:00:00,,
2023-12-12 08:00:00,,
2023-12-12 12:00:00,,
2023-12-12 16:00:00,,
2023-12-12 20:00:00,,
2023-12-13 00:00:00,1702425600000.0,41450.819387377436
2023-12-13 04:00:00,,
2023-12-13 08:00:00,,
2023-12-13 12:00:00,,
2023-12-13 16:00:00,,
2023-12-13 20:00:00,,
2023-12-14 00:00:00,1702512000000.0,42931.76182603245
2023-12-14 04:00:00,,
2023-12-14 08:00:00,,
2023-12-14 12:00:00,,
2023-12-14 16:00:00,,
2023-12-14 20:00:00,,
